"release_version","release_file","schema_version","release_date","record_counts_by_table","checksum_sha256","qa_report_path","known_limitations","released_by"
"v0_raw_ingest","camera_trap_v0_raw_ingest.duckdb","schema.sql v1 (2026-06-13)",2026-06-14,"block:0; conservation_status:58; deployment:0; derived_index:0; diversity_summary:0; environmental_covariates:0; evidence_state:0; extraction_audit:0; functional_traits:58; historical_expectation:0; independent_event:0; issue_log:0; land_use_management:0; media:0; observation:0; protected_area_context:0; reference_baseline_pair:0; site:0; source:0; species_site_measurement:0; study:0; survey_adequacy_detection:0; taxonomy:58","31ff3d449ce712aaeb5f278ba96945ba919fb9731a920af22c4e26dfa46e8b0c","","","TW-CVII pipeline"
"v1_cleaned_core","camera_trap_v1_cleaned_core.duckdb","schema.sql v1 (2026-06-13)",2026-06-14,"block:0; conservation_status:58; deployment:0; derived_index:0; diversity_summary:0; environmental_covariates:0; evidence_state:0; extraction_audit:3; functional_traits:58; historical_expectation:0; independent_event:0; issue_log:0; land_use_management:0; media:0; observation:0; protected_area_context:0; reference_baseline_pair:0; site:3; source:3; species_site_measurement:94; study:3; survey_adequacy_detection:0; taxonomy:58","4d146d4183407a882fcdd69f94c5360629ef15d26a6180bb12719b28fda0f881","","","TW-CVII pipeline"
"v2_analysis_ready","camera_trap_v2_analysis_ready.duckdb","schema.sql v1 (2026-06-13)",2026-06-14,"block:0; conservation_status:58; deployment:0; derived_index:3; diversity_summary:0; environmental_covariates:0; evidence_state:47; extraction_audit:3; functional_traits:58; historical_expectation:0; independent_event:0; issue_log:0; land_use_management:0; media:0; observation:0; protected_area_context:0; reference_baseline_pair:0; site:3; source:3; species_site_measurement:94; study:3; survey_adequacy_detection:9; taxonomy:58","269809758cdbfe5f1f0e2e1379264f3663de83e0a0db8af8e88f98b7e4284b0e","12_audits/qa_gate_reports/","seed=1 paper (Zhao2026 Huangshan); historical_expectation empty; some species lack conservation_status; site coords=centroid","TW-CVII pipeline"
