source_id,zotero_item_key,bibtex_key,title_original,title_english,authors,year,journal_or_source,publication_type,doi,url,language,database_source,search_id_first_found,full_text_status,supplement_status,has_appendix_species_list,data_access_status,duplicate_group_id,extraction_status,notes
SRC000001,MANUAL_SRC000001,zhao2026huangshan,Camera trap survey of mammal diversity and activity rhythms of threatened species in a subtropical forest of Huangshan Mountain China,Camera trap survey of mammal diversity and activity rhythms of threatened species in a subtropical forest of Huangshan Mountain China,"Zhao W; Li M-M; Yan X-R; Zhang Z; Chen X-C; Chang Z-Q; Chen J-L; Ma J-J; Xu Z-P; Chen J-M; Lee PS; Zhang F",2026,Biodiversity Data Journal 14: e184017,article,10.3897/BDJ.14.e184017,https://doi.org/10.3897/BDJ.14.e184017,en,GoogleScholar,SEED_20260613,available,available,yes,open,,verified,Seed paper; CC-BY 4.0; 32 cameras x 7964 camera-days; 7625 independent detections; 15 species
SRC000002,MANUAL_SRC000002,li2024yarlung,Human disturbance increases spatiotemporal associations among mountain forest terrestrial mammal species,,Li et al.,2024,eLife,article,10.7554/eLife.92457,https://elifesciences.org/articles/92457,en,GoogleScholar,SEED_20260614,available,available,yes,open,,verified,Seed paper 2; CC-BY 4.0; Yarlung Zangbo Grand Canyon NNR; 322 stations x 43163 camera-days; 10388 independent detections
SRC000003,MANUAL_SRC000003,jianfengling2024,Unveiling the Mammalian Diversity and Conservation Significance of Jianfengling Region A Camera-Trapping Survey of Mammals in Hainan Tropical Rainforest National Park,,Jianfengling Survey Team,2024,Research Square preprint (PMC12984735),preprint,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12984735/,en,GoogleScholar,SEED_20260614,available,available,yes,open,,verified,Seed paper 3; Hainan tropical rainforest; 123 cameras x 41571 camera-days; 8091 independent detections; 15 species
SRC000004,MANUAL_SRC000004,foping2020biods,Camera-trapping survey of mammals and birds in the Foping National Nature Reserve China,,Ma YS; Ma QQ; He NJ; Zhu DP; Zhao KH; Liu HC; Li S; Sun L; Tang LB,2020,Biodiversity Science 28(2): 226-230,article,10.17520/biods.2019240,https://www.biodiversity-science.net/EN/10.17520/biods.2019240,zh,GoogleScholar,SEED_20260614,available,available,yes,open,,verified,Seed paper 4; Qinling Foping NNR; 130 cameras x 101220 camera-days; 29 mammals; giant panda habitat
