block_id,study_id,block_name_original,block_name_standard,block_type,spatial_clustering_reason,country,province,prefecture,county,township,protected_area_name,block_latitude_original,block_longitude_original,block_latitude,block_longitude,coordinate_precision,coordinate_uncertainty_m,coordinate_source,coordinate_datum,location_source,extraction_page,verification_status
BLK000001,STU000001,千顷塘片区,千顷塘片区,protected_area_section,Three disconnected sections of Zhejiang Qingliangfeng National Nature Reserve,China,Zhejiang,Hangzhou,Lin'an District,,Zhejiang Qingliangfeng National Nature Reserve,,,,,range_reported_for_whole_reserve,,PDF p.2 section 1.1,NR,paper text,PDF p.2-4; Figure 1; Table 1,candidate
BLK000002,STU000001,龙塘山片区,龙塘山片区,protected_area_section,Three disconnected sections of Zhejiang Qingliangfeng National Nature Reserve,China,Zhejiang,Hangzhou,Lin'an District,,Zhejiang Qingliangfeng National Nature Reserve,,,,,range_reported_for_whole_reserve,,PDF p.2 section 1.1,NR,paper text,PDF p.2-4; Figure 1; Table 1,candidate
BLK000003,STU000001,顺溪坞片区,顺溪坞片区,protected_area_section,Three disconnected sections of Zhejiang Qingliangfeng National Nature Reserve,China,Zhejiang,Hangzhou,Lin'an District,,Zhejiang Qingliangfeng National Nature Reserve,,,,,range_reported_for_whole_reserve,,PDF p.2 section 1.1,NR,paper text,PDF p.2-4; Figure 1; Table 1,candidate
