site_id,study_id,block_id,site_number_within_study,site_name_original,site_name_standard,locality_original,protected_area_name,protected_area_id,protected_area_section,country,province,prefecture,county,township,village_or_station,mountain_range,river_basin,ecoregion,latitude_original,longitude_original,latitude,longitude,coordinate_precision,coordinate_uncertainty_m,coordinate_source,coordinate_datum,geometry_type,geometry_wkt,location_source,coordinate_sensitive_flag,coordinate_access_level,elevation_min_m,elevation_max_m,elevation_mean_m,habitat_type_original,habitat_type_standard,survey_area_km2,protected_area_total_km2,effective_sampling_area_km2,max_linear_extent_m,protection_status,management_zone,spatial_unit_for_twcvii,extraction_page,verification_status
SITE000001,STU000001,,,浙江清凉峰国家级自然保护区,Zhejiang Qingliangfeng National Nature Reserve,浙江省杭州市临安区; 千顷塘、龙塘山、顺溪坞三个片区,Zhejiang Qingliangfeng National Nature Reserve,,,China,Zhejiang,Hangzhou,Lin'an District,,,,,,30°00′42″-30°19′33″N,118°50′57″-119°13′23″E,NR,NR,range_reported,,PDF p.2 section 1.1,NR,range,,paper text,yes,protected_area_range_public; exact camera coordinates not published,399,1787.4,,multiple forest vegetation types,forest_mosaic,112.52,112.52,,,national_nature_reserve,NR,protected_area,PDF p.2-4; section 1.1; Table 1,candidate
SITE000002,STU000001,BLK000001,,千顷塘片区,千顷塘片区,千顷塘片区,Zhejiang Qingliangfeng National Nature Reserve,,千顷塘片区,China,Zhejiang,Hangzhou,Lin'an District,,,,,,,,NR,NR,section_only,,PDF Figure 1 map; no exact station coordinates,NR,section,,paper text and Figure 1,yes,section_public; station_coordinates_not_published,,,,,,56.9,112.52,,,national_nature_reserve,,protected_area_section,PDF p.4; Table 1,candidate
SITE000003,STU000001,BLK000002,,龙塘山片区,龙塘山片区,龙塘山片区,Zhejiang Qingliangfeng National Nature Reserve,,龙塘山片区,China,Zhejiang,Hangzhou,Lin'an District,,,,,,,,NR,NR,section_only,,PDF Figure 1 map; no exact station coordinates,NR,section,,paper text and Figure 1,yes,section_public; station_coordinates_not_published,,,,,,44.82,112.52,,,national_nature_reserve,,protected_area_section,PDF p.4; Table 1,candidate
SITE000004,STU000001,BLK000003,,顺溪坞片区,顺溪坞片区,顺溪坞片区,Zhejiang Qingliangfeng National Nature Reserve,,顺溪坞片区,China,Zhejiang,Hangzhou,Lin'an District,,,,,,,,NR,NR,section_only,,PDF Figure 1 map; no exact station coordinates,NR,section,,paper text and Figure 1,yes,section_public; station_coordinates_not_published,,,,,,10.8,112.52,,,national_nature_reserve,,protected_area_section,PDF p.4; Table 1,candidate
