deployment_id,study_id,site_id,station_id,station_name_original,camera_id,camera_model,station_latitude_original,station_longitude_original,station_latitude,station_longitude,station_coordinate_precision,station_coordinate_uncertainty_m,station_coordinate_source,station_coordinate_datum,sensitive_coordinate_flag,deployment_start_original,deployment_end_original,deployment_start,deployment_end,deployment_date_resolution,active_days,camera_days,valid_nights,malfunction_days,check_interval_months,camera_height_cm,camera_spacing_m,grid_size_km,placement_type,microhabitat_original,bait_lure_use,season,extraction_page,verification_status
DEP000001,STU000001,SITE000001,aggregate_115_stations,115 grid camera stations,,EREAGLE-E1B,,,,,not_published,,NR,NR,yes,2017年12月,2019年11月,2017-12,2019-11,month,,30993,,,,,,1,grid; trail/forest gap/water-pit low-interference locations,林木空旷处、兽道、水坑等人为干扰小的地方,NR,multi-season,PDF p.3-4; Table 1,candidate
DEP000002,STU000001,SITE000002,aggregate_千顷塘片区,千顷塘片区 aggregate camera stations,,EREAGLE-E1B,,,,,not_published,,,,yes,2017年12月,2019年11月,2017-12,2019-11,month,,13203,,,,,,1,grid aggregate,,NR,multi-season,PDF p.4; Table 1,candidate
DEP000003,STU000001,SITE000003,aggregate_龙塘山片区,龙塘山片区 aggregate camera stations,,EREAGLE-E1B,,,,,not_published,,,,yes,2017年12月,2019年11月,2017-12,2019-11,month,,15539,,,,,,1,grid aggregate,,NR,multi-season,PDF p.4; Table 1,candidate
DEP000004,STU000001,SITE000004,aggregate_顺溪坞片区,顺溪坞片区 aggregate camera stations,,EREAGLE-E1B,,,,,not_published,,,,yes,2017年12月,2019年11月,2017-12,2019-11,month,,2251,,,,,,1,grid aggregate,,NR,multi-season,PDF p.4; Table 1,candidate
