species_id,taxon_name_entered,taxon_name_parsed,scientific_name_accepted,chinese_name_standard,name_status,taxon_rank,kingdom,phylum,class,order,family,genus,species,best_guess_binomial,taxonomy_source,verification_status
SP000037,发冠卷尾 Dicrurus hottentottus,Dicrurus hottentottus,Dicrurus hottentottus,发冠卷尾,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,卷尾科,Dicrurus,hottentottus,Dicrurus hottentottus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000038,绿翅短脚鹎 Ixos mcclellandii,Ixos mcclellandii,Ixos mcclellandii,绿翅短脚鹎,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹎科,Ixos,mcclellandii,Ixos mcclellandii,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000039,画眉 Garrulax canorus,Garrulax canorus,Garrulax canorus,画眉,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,canorus,Garrulax canorus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000040,黑领噪鹛 Garrulax pectoralis,Garrulax pectoralis,Garrulax pectoralis,黑领噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,pectoralis,Garrulax pectoralis,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000041,小黑领噪鹛 Garrulax monileger,Garrulax monileger,Garrulax monileger,小黑领噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,monileger,Garrulax monileger,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000042,棕噪鹛 Garrulax berthemyi,Garrulax berthemyi,Garrulax berthemyi,棕噪鹛,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Garrulax,berthemyi,Garrulax berthemyi,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000043,红嘴相思鸟 Leiothrix lutea,Leiothrix lutea,Leiothrix lutea,红嘴相思鸟,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,噪鹛科,Leiothrix,lutea,Leiothrix lutea,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000044,橙头地鸫 Geokichla citina,Geokichla citina,Geokichla citina,橙头地鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Geokichla,citina,Geokichla citina,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000045,虎斑地鸫 Zoothera aurea,Zoothera aurea,Zoothera aurea,虎斑地鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Zoothera,aurea,Zoothera aurea,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000046,乌鸫 Turdus mandarinus,Turdus mandarinus,Turdus mandarinus,乌鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,mandarinus,Turdus mandarinus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000047,白腹鸫 Turdus pallidus,Turdus pallidus,Turdus pallidus,白腹鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,pallidus,Turdus pallidus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000048,斑鸫 Turdus eunomus,Turdus eunomus,Turdus eunomus,斑鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,eunomus,Turdus eunomus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000049,红尾鸫 Turdus naumanni,Turdus naumanni,Turdus naumanni,红尾鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鸫科,Turdus,naumanni,Turdus naumanni,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000050,紫啸鸫 Myophonus caeruleus,Myophonus caeruleus,Myophonus caeruleus,紫啸鸫,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹟科,Myophonus,caeruleus,Myophonus caeruleus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000051,山麻雀 Passer cinnamomeus,Passer cinnamomeus,Passer cinnamomeus,山麻雀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,雀科,Passer,cinnamomeus,Passer cinnamomeus,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000052,燕雀 Fringilla montifringilla,Fringilla montifringilla,Fringilla montifringilla,燕雀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,燕雀科,Fringilla,montifringilla,Fringilla montifringilla,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000053,三道眉草鹀 Emberiza cioides,Emberiza cioides,Emberiza cioides,三道眉草鹀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹀科,Emberiza,cioides,Emberiza cioides,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
SP000054,黄眉鹀 Emberiza chrysophrys,Emberiza chrysophrys,Emberiza chrysophrys,黄眉鹀,accepted_candidate,species,Animalia,Chordata,Aves,雀形目,鹀科,Emberiza,chrysophrys,Emberiza chrysophrys,Guo et al. 2022 Table 2; taxonomy requires external checklist verification,candidate
